Linux 5.10.0-5-cloud-amd64 (lke25332-32960-608682818f2e) 	05/08/21 	_x86_64_	(1 CPU)

00:00:01        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:05:01        all      6.14      0.00      3.03      0.02      0.73     90.08
00:15:01        all      6.05      0.00      3.09      0.01      0.30     90.55
00:25:01        all      6.17      0.00      3.09      0.02      0.41     90.31
00:35:01        all      6.03      0.00      3.11      0.01      0.27     90.58
00:45:02        all      7.17      0.00      3.27      0.01      0.27     89.29
00:55:01        all      5.98      0.00      2.91      0.01      0.22     90.88
01:05:01        all      5.89      0.00      2.99      0.01      0.23     90.88
01:15:01        all      6.03      0.00      3.07      0.01      0.27     90.63
01:25:01        all      6.04      0.00      2.97      0.01      0.28     90.69
01:35:01        all      6.17      0.00      3.17      0.01      0.30     90.35
01:45:01        all      6.00      0.00      3.05      0.01      0.25     90.70
01:55:01        all      6.10      0.00      3.13      0.01      0.25     90.51
02:05:01        all      6.12      0.00      3.13      0.01      0.35     90.39
02:15:01        all      6.10      0.00      3.13      0.01      0.28     90.48
02:25:01        all      6.24      0.00      3.12      0.01      0.44     90.19
02:35:01        all      6.24      0.00      3.14      0.01      0.43     90.17
02:45:01        all      6.11      0.00      3.06      0.01      0.31     90.51
02:55:01        all      5.96      0.00      3.17      0.01      0.31     90.55
03:05:01        all      6.12      0.00      3.10      0.01      0.47     90.29
03:15:01        all      6.08      0.00      3.12      0.01      0.39     90.40
03:25:01        all      6.14      0.00      3.16      0.01      0.38     90.32
03:35:01        all      6.24      0.00      3.18      0.01      0.41     90.16
03:45:01        all      6.38      0.00      3.30      0.01      0.58     89.74
03:55:01        all      6.23      0.00      3.21      0.01      0.53     90.02
04:05:01        all      6.44      0.00      3.28      0.01      0.62     89.66
04:15:01        all      6.14      0.00      3.08      0.01      0.38     90.38
04:25:01        all      6.27      0.00      3.14      0.01      0.61     89.98
04:35:01        all      6.12      0.00      3.09      0.01      0.32     90.46
04:45:01        all      6.09      0.00      3.06      0.01      0.36     90.49
04:55:01        all      6.14      0.00      3.17      0.01      0.38     90.30
05:05:01        all      6.34      0.00      3.09      0.01      0.52     90.04
05:15:01        all      6.09      0.00      3.10      0.01      0.44     90.36
05:25:01        all      6.06      0.00      3.02      0.01      0.40     90.51
05:35:01        all      6.12      0.00      3.01      0.01      0.38     90.47
05:45:01        all      6.06      0.00      3.00      0.01      0.39     90.53
05:55:01        all      6.18      0.00      3.13      0.01      0.45     90.24
06:05:01        all      6.33      0.00      3.28      0.01      0.61     89.77
06:15:01        all      6.25      0.00      3.33      0.01      0.57     89.85
06:25:01        all      7.37      0.24      3.28      0.01      0.66     88.45
06:35:01        all      6.33      0.00      3.11      0.01      0.63     89.92
06:45:01        all      6.25      0.00      3.12      0.01      0.47     90.16
06:55:01        all      6.23      0.00      3.10      0.01      0.47     90.19
07:05:01        all      6.20      0.00      3.09      0.01      0.55     90.15
07:15:02        all      6.28      0.00      3.14      0.01      0.55     90.02
07:25:01        all      6.29      0.00      3.16      0.01      0.50     90.04
07:35:01        all      6.00      0.00      3.17      0.01      0.39     90.43
07:45:01        all      6.37      0.00      3.17      0.02      0.47     89.96
07:55:01        all      6.23      0.00      3.28      0.01      0.47     90.02
08:05:01        all      6.27      0.00      3.18      0.01      0.49     90.05
08:15:01        all      6.25      0.00      3.26      0.01      0.50     89.98
08:25:01        all      6.38      0.00      3.19      0.01      0.65     89.76
08:35:01        all      6.06      0.00      3.27      0.01      0.49     90.18
08:45:01        all      6.24      0.00      3.10      0.01      0.44     90.22
08:55:01        all      6.12      0.00      3.08      0.01      0.44     90.35
09:05:01        all      6.57      0.00      3.43      0.01      0.66     89.33
09:15:01        all      6.13      0.00      3.29      0.01      0.40     90.18
09:25:01        all      6.11      0.00      3.19      0.01      0.53     90.17
09:35:01        all      6.12      0.00      3.07      0.01      0.48     90.33
09:45:01        all      6.16      0.00      3.17      0.01      0.53     90.13
09:55:01        all      6.21      0.00      3.19      0.01      0.67     89.92
10:05:01        all      6.22      0.00      3.16      0.01      0.66     89.96
10:15:01        all      6.19      0.00      3.09      0.01      0.54     90.17
10:25:01        all      6.48      0.00      3.20      0.01      0.65     89.66
10:35:01        all      6.09      0.00      3.22      0.01      0.50     90.19
10:45:01        all      6.12      0.00      3.22      0.01      0.43     90.22
10:55:01        all      6.11      0.00      3.05      0.01      0.44     90.39
11:05:01        all      6.18      0.00      3.11      0.01      0.62     90.08
11:15:01        all      6.14      0.00      3.20      0.00      0.53     90.12
11:25:01        all      6.16      0.00      3.18      0.01      0.60     90.05
11:35:01        all      6.14      0.00      3.14      0.01      0.50     90.21
11:45:01        all      5.99      0.00      3.12      0.01      0.47     90.41
11:55:01        all      6.25      0.00      3.11      0.01      0.58     90.06
12:05:01        all      6.26      0.00      3.18      0.01      0.89     89.66
12:15:01        all      6.40      0.00      3.22      0.01      0.59     89.79
12:25:01        all      6.18      0.00      3.21      0.01      0.65     89.95
12:35:02        all      6.22      0.00      3.35      0.01      0.71     89.71
12:45:01        all      6.13      0.00      3.11      0.01      0.47     90.28
12:55:01        all      6.17      0.00      3.08      0.01      0.55     90.20
13:05:01        all      6.40      0.00      3.24      0.01      0.81     89.55
13:15:01        all      6.19      0.00      3.16      0.01      0.63     90.00
13:25:01        all      6.13      0.00      3.25      0.01      0.67     89.94
13:35:01        all      6.44      0.00      3.34      0.01      0.62     89.58
13:45:01        all      6.10      0.00      3.13      0.01      0.52     90.24
13:55:01        all      6.38      0.00      3.24      0.01      0.85     89.52
14:05:01        all      6.21      0.00      3.23      0.02      0.67     89.86
14:15:01        all      6.37      0.00      3.13      0.01      0.66     89.84
14:25:01        all      6.29      0.00      3.25      0.01      0.59     89.86
14:35:01        all      6.08      0.00      3.18      0.01      0.46     90.28
14:45:01        all      6.09      0.00      3.17      0.01      0.46     90.27
14:55:01        all      6.29      0.00      3.21      0.01      0.61     89.88
15:05:01        all      6.44      0.00      3.24      0.01      0.80     89.51
15:15:01        all      6.40      0.00      3.24      0.01      0.80     89.56
15:25:01        all      6.27      0.00      3.16      0.01      0.73     89.83
15:35:01        all      6.09      0.00      3.14      0.01      0.55     90.21
15:45:01        all      6.24      0.00      3.20      0.01      0.54     90.01
15:55:01        all      6.12      0.00      3.11      0.01      0.60     90.16
16:05:01        all      6.21      0.00      3.25      0.01      0.62     89.90
16:15:01        all      6.58      0.00      3.19      0.02      0.77     89.44
16:25:01        all      6.23      0.00      3.17      0.02      0.71     89.86
16:35:01        all      6.33      0.00      3.18      0.01      0.74     89.74
16:45:01        all      6.24      0.00      3.17      0.01      0.70     89.87
16:55:01        all      6.32      0.00      3.22      0.01      0.95     89.49
17:05:01        all      6.33      0.00      3.22      0.01      0.92     89.52
17:15:01        all      6.54      0.00      3.43      0.01      1.04     88.99
17:25:01        all      6.54      0.00      3.37      0.01      1.04     89.04
17:35:01        all      6.20      0.00      3.19      0.01      0.60     90.01
17:45:01        all      6.32      0.00      3.14      0.01      0.71     89.82
17:55:01        all      6.29      0.00      3.20      0.01      1.22     89.29
18:05:02        all      6.39      0.00      3.31      0.01      0.84     89.44
18:15:01        all      6.34      0.00      3.33      0.01      0.79     89.53
18:25:01        all      6.67      0.00      3.54      0.01      1.05     88.73
18:35:01        all      6.51      0.00      3.40      0.01      0.89     89.19
18:45:01        all      6.36      0.00      3.28      0.01      0.86     89.49
18:55:01        all      6.18      0.00      3.19      0.01      0.66     89.96
19:05:01        all      6.47      0.00      3.33      0.01      0.97     89.22
19:15:01        all      6.37      0.00      3.31      0.01      0.84     89.47
19:25:01        all      6.39      0.00      3.20      0.01      0.90     89.51
19:35:01        all      6.21      0.00      3.23      0.01      0.59     89.96
19:45:01        all      6.36      0.00      3.32      0.01      0.56     89.75
19:55:01        all      6.36      0.00      3.29      0.01      0.47     89.87
20:05:01        all      6.51      0.00      3.39      0.01      0.88     89.22
20:15:01        all      6.50      0.00      3.22      0.01      0.65     89.62
20:25:01        all      6.47      0.00      3.38      0.01      0.96     89.17
20:35:01        all      6.50      0.00      3.32      0.01      0.67     89.50
20:45:01        all      6.48      0.00      3.24      0.01      0.62     89.65
20:55:01        all      6.34      0.00      3.24      0.01      0.48     89.93
21:05:01        all      6.30      0.00      3.29      0.01      0.69     89.72
21:15:01        all      6.25      0.00      3.28      0.01      0.49     89.97
21:25:01        all      6.23      0.00      3.21      0.01      0.51     90.04
21:35:01        all      6.09      0.00      3.16      0.01      0.39     90.36
21:45:01        all      6.00      0.00      3.15      0.01      0.29     90.56
21:55:01        all      6.35      0.00      3.19      0.01      0.57     89.88
22:05:01        all      6.30      0.00      3.22      0.01      0.55     89.92
22:15:01        all      6.20      0.00      3.24      0.01      0.43     90.13
22:25:01        all      6.17      0.00      3.20      0.01      0.48     90.14
22:35:01        all      6.20      0.00      3.20      0.01      0.44     90.15
22:45:02        all      5.96      0.00      3.12      0.01      0.33     90.58
22:55:01        all      6.04      0.00      3.13      0.01      0.33     90.49
23:05:01        all      6.23      0.00      3.32      0.01      0.47     89.98
23:15:01        all      6.05      0.00      3.18      0.01      0.33     90.43
23:25:01        all      5.90      0.00      3.10      0.01      0.28     90.73
23:35:01        all      6.05      0.00      3.26      0.01      0.38     90.30
23:45:01        all      6.15      0.00      3.22      0.01      0.39     90.22
23:55:01        all      6.14      0.00      3.19      0.01      0.51     90.15
23:59:01        all      6.27      0.00      3.34      0.01      0.76     89.62
00:00:01        all      6.08      0.00      3.15      0.00      2.64     88.12
Average:        all      6.24      0.00      3.19      0.01      0.56     90.00
